fecha,hora,fecha_completa,nombre,dni,edad,sexo,direccion,barrio,metodo,latitud,longitud,año,mes,dia_semana,antecedentes
1980-02-15,14:35,2004-09-10 14:35,Ruben Sanz Machado,79519112Q,71,Masculino,"Avenida C. Abilio Portero, 2, Russafa, Valencia",Russafa,Arma de fuego,39.450292,-0.361447,1980,2,Friday,Abuso de sustancias
1980-02-16,13:41,1988-09-14 13:41,Donato Talavera Beltran,29348212M,52,Masculino,"Plaza Glorieta Eugenio Amat, 26, Malvarrosa, Valencia",Malvarrosa,Ahorcamiento,39.480712,-0.309321,1980,2,Wednesday,Sin antecedentes conocidos
1980-02-18,23:05,1991-01-27 23:05,Cebrián Campoy Piñeiro,85543051W,15,Masculino,"Carrer Ronda de Nidia Hurtado, 30, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.457104,-0.387845,1980,2,Sunday,Abuso de sustancias
1980-02-19,20:10,2010-12-09 20:10,Ofelia Mate-Ángel,25372341Y,34,Femenino,"Avenida Cañada de Fausto Ríos, 120, El Carme, Valencia",El Carme,Precipitación,39.485015,-0.370508,1980,2,Thursday,Intento previo
1980-02-20,15:31,1983-03-26 15:31,Luis Ángel Lara Arenas,46540265H,49,Masculino,"Plaça Via Saturnina Julián, 146, Poblats Marítims, Valencia",Poblats Marítims,Ahorcamiento,39.45047,-0.312121,1980,2,Saturday,Enfermedad crónica
1980-02-24,10:16,1999-12-06 10:16,Vinicio Ariño Pallarès,70900658F,60,Masculino,"Carrer Vial de Ariel Mendez, 142, Patraix, Valencia",Patraix,Ahorcamiento,39.447424,-0.390238,1980,2,Monday,Abuso de sustancias
1980-03-02,15:58,2024-10-11 15:58,Yago Camino-Martín,88406989A,50,Masculino,"Carrer Callejón Angelita Escalona, 40, 4ºA, Jesús, Valencia",Jesús,Intoxicación medicamentosa,39.452593,-0.354621,1980,3,Friday,
1980-03-03,08:09,2024-08-20 08:09,Norberto Muñoz,83089925X,58,Masculino,"Avenida Callejón Pascual Vergara, 68, Ciutat Vella, Valencia",Ciutat Vella,Intoxicación medicamentosa,39.469285,-0.353811,1980,3,Tuesday,Intento previo
1980-03-05,11:34,1995-11-23 11:34,Ambrosio Ayllón Tapia,55076693L,19,Masculino,"Plaça Camino Magdalena Barrera, 125, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.463635,-0.376113,1980,3,Thursday,Trastorno bipolar
1980-03-09,22:41,1982-06-11 22:41,Leoncio Marcos Pardo,63100814S,58,Masculino,"Calle Paseo de Edelmiro Pinedo, 55, Russafa, Valencia",Russafa,Intoxicación medicamentosa,39.464514,-0.375896,1980,3,Friday,Enfermedad crónica
1980-04-01,12:52,1991-06-20 12:52,Custodio de Suárez,71780854Q,68,Masculino,"Carrer Pasadizo Jordán Lopez, 64, 2ºD, Quatre Carreres, Valencia",Quatre Carreres,Arma de fuego,39.424042,-0.350137,1980,4,Thursday,Abuso de sustancias
1980-04-02,05:23,2018-04-12 05:23,Tadeo Barba Grande,12614124G,74,Masculino,"Avenida C. de Julián Gimenez, 139, La Xerea, Valencia",La Xerea,Sumersión,39.469666,-0.38022,1980,4,Thursday,Intento previo
1980-04-05,21:39,2014-01-27 21:39,Vera Bayona Hidalgo,36757737B,55,Femenino,"Plaza Pasadizo Juan Manuel Cazorla, 58, Benicalap, Valencia",Benicalap,Precipitación,39.499722,-0.404024,1980,4,Monday,Sin antecedentes conocidos
1980-05-01,11:23,1992-06-10 11:23,Reyna Ramos Cortes,36054020W,84,Femenino,"Plaça Urbanización Griselda Calderon, 48, 8ºC, El Carme, Valencia",El Carme,Precipitación,39.48082,-0.364314,1980,5,Wednesday,Sin antecedentes conocidos
1980-05-06,12:01,2022-04-09 12:01,Asdrubal Caballero Rosa,81969657A,51,Masculino,"Plaza Cuesta Noemí Ramírez, 18, Russafa, Valencia",Russafa,Ahorcamiento,39.459608,-0.363899,1980,5,Saturday,Trastorno bipolar
1980-05-10,13:53,2006-06-17 13:53,Edelmiro de Salazar,50392808S,57,Masculino,"Plaza Ronda Gervasio Lopez, 142, 7º2, Russafa, Valencia",Russafa,Corte/punzante,39.469323,-0.361055,1980,5,Saturday,Depresión diagnosticada
1980-05-14,23:16,2021-10-04 23:16,Cayetano Santiago,10289289D,35,Masculino,"Calle Alameda de Dani Marin, 61, 8ºD, Poblats Marítims, Valencia",Poblats Marítims,Ahorcamiento,39.468457,-0.315877,1980,5,Monday,Enfermedad crónica
1980-05-20,19:09,2021-09-28 19:09,Tristán Rocha-Galán,24366125V,69,Masculino,"Plaça Paseo de Fito Landa, 77, Ciutat Vella, Valencia",Ciutat Vella,Ahorcamiento,39.466149,-0.390554,1980,5,Tuesday,Intento previo
1980-05-22,19:19,2014-12-18 19:19,Clemente Falcón Sanabria,26726926Y,74,Masculino,"Avenida Alameda de Nereida Canales, 94, Quatre Carreres, Valencia",Quatre Carreres,Corte/punzante,39.440854,-0.369702,1980,5,Thursday,
1980-05-25,18:07,2020-03-22 18:07,Flora Padilla Gallego,11540956Q,49,Femenino,"Carrer Callejón de Wilfredo Patiño, 17, Poblats Marítims, Valencia",Poblats Marítims,Intoxicación medicamentosa,39.448602,-0.326533,1980,5,Sunday,
1980-05-27,12:50,1995-08-22 12:50,Rubén Montserrat,65692629Y,66,Masculino,"Carrer Cañada Luciano Gallo, 49, Campanar, Valencia",Campanar,Intoxicación medicamentosa,39.490104,-0.377558,1980,5,Tuesday,
1980-06-07,21:10,2025-02-05 21:10,Cándido Navarro Calatayud,95320121W,71,Masculino,"Avenida Ronda Noé Lobo, 75, Ciutat Vella, Valencia",Ciutat Vella,Arma de fuego,39.471274,-0.373296,1980,6,Wednesday,Duelo reciente
1980-06-14,11:06,2021-08-15 11:06,Alfredo Rubio Abellán,54735895N,90,Masculino,"Avenida C. Trinidad Falcón, 150, El Cabanyal, Valencia",El Cabanyal,Arma de fuego,39.472707,-0.320047,1980,6,Sunday,Sin antecedentes conocidos
1980-06-26,14:02,1990-08-15 14:02,Macario Grau Giménez,29876811H,50,Masculino,"Carrer Urbanización Bernardo Neira, 144, 2º2, Campanar, Valencia",Campanar,Sumersión,39.492893,-0.402741,1980,6,Wednesday,Intento previo
1980-07-01,21:51,1982-07-03 21:51,Anastasio Angulo Murillo,41774346K,74,Masculino,"Avenida Avenida Laura Barral, 27, L'Eixample, Valencia",L'Eixample,Intoxicación medicamentosa,39.479304,-0.37243,1980,7,Saturday,Sin antecedentes conocidos
1980-07-02,18:34,2024-09-10 18:34,Matilde Mir Casanovas,10154493Q,31,Femenino,"Carrer Acceso Tomás Becerra, 141, 2ºC, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.482174,-0.374945,1980,7,Tuesday,Enfermedad crónica
1980-08-01,15:17,2010-01-04 15:17,Martirio Almudena Bilbao Rius,39600202K,43,Femenino,"Plaza Via de Tania Hoz, 100, Malvarrosa, Valencia",Malvarrosa,Corte/punzante,39.476397,-0.311909,1980,8,Monday,Problemas económicos
1980-08-02,13:42,1992-12-23 13:42,Sebastián Gutierrez Menéndez,61167978F,42,Masculino,"Carrer Pasadizo de Gracia Naranjo, 60, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.458433,-0.36621,1980,8,Wednesday,Sin antecedentes conocidos
1980-08-08,21:05,2007-04-01 21:05,Maximiliano Roda Lloret,42949803V,64,Masculino,"Plaza Callejón de Vicenta Azcona, 138, Quatre Carreres, Valencia",Quatre Carreres,Intoxicación medicamentosa,39.445797,-0.366042,1980,8,Sunday,Intento previo
1980-08-09,14:10,1988-08-25 14:10,Claudio Martin Gelabert,83534128Z,53,Masculino,"Plaça Paseo de Gisela Torrecilla, 82, Jesús, Valencia",Jesús,Sumersión,39.450041,-0.352815,1980,8,Thursday,Enfermedad crónica
1980-08-11,16:30,2025-10-01 16:30,Albano Escobar,11646234T,32,Masculino,"Calle Rambla Nereida Elorza, 14, El Carme, Valencia",El Carme,Precipitación,39.480477,-0.376881,1980,8,Wednesday,Enfermedad crónica
1980-08-11,16:34,1980-05-24 16:34,Jordi Doménech-Blazquez,54619335Q,33,Masculino,"Plaça Pasaje de Vasco García, 149, Quatre Carreres, Valencia",Quatre Carreres,Intoxicación medicamentosa,39.466761,-0.352492,1980,8,Saturday,Problemas económicos
1980-08-16,15:17,1999-10-10 15:17,Mario Mascaró Ramis,49172995F,47,Masculino,"Carrer Ronda Graciana Pinilla, 24, 2ºD, Ciutat Vella, Valencia",Ciutat Vella,Corte/punzante,39.477729,-0.37288,1980,8,Sunday,Problemas económicos
1980-08-17,17:48,1982-08-10 17:48,María Dolores Vidal,46173157J,45,Femenino,"Plaça Ronda Onofre Mir, 65, 4º2, Quatre Carreres, Valencia",Quatre Carreres,Arma de fuego,39.451297,-0.346097,1980,8,Tuesday,Sin antecedentes conocidos
1980-09-05,10:31,1981-10-29 10:31,Damián Chacón Vergara,41944441P,20,Masculino,"Plaça Camino de Tiburcio Pujol, 57, 1ºB, Campanar, Valencia",Campanar,Ahorcamiento,39.479375,-0.392638,1980,9,Thursday,Abuso de sustancias
1980-09-28,23:10,1995-10-18 23:10,Curro Miranda Garcia,73791320Y,47,Masculino,"Calle Alameda Salvador Leal, 125, Malvarrosa, Valencia",Malvarrosa,Otros,39.474892,-0.327693,1980,9,Wednesday,Intento previo
1980-10-01,04:14,2020-02-27 04:14,Dani Chaparro Calatayud,13999315C,54,Masculino,"Plaza Plaza Manuela Llopis, 63, 2º2, Ciutat Vella, Valencia",Ciutat Vella,Precipitación,39.480182,-0.357924,1980,10,Thursday,
1980-10-07,21:39,2004-02-19 21:39,Jacobo Lobo Agudo,49349722W,51,Masculino,"Plaza Paseo Heliodoro Rivas, 68, Russafa, Valencia",Russafa,Precipitación,39.458244,-0.358489,1980,10,Thursday,Duelo reciente
1980-10-13,13:49,1994-07-16 13:49,Andrés Bayo Gutierrez,66390708N,45,Masculino,"Avenida Calle Apolonia Bernat, 17, Jesús, Valencia",Jesús,Ahorcamiento,39.44871,-0.345151,1980,10,Saturday,Depresión diagnosticada
1980-10-24,11:39,2006-11-07 11:39,Felicia del Goñi,67556566T,69,Femenino,"Plaça Cuesta Iván Flores, 58, Patraix, Valencia",Patraix,Ahorcamiento,39.452376,-0.396994,1980,10,Tuesday,Depresión diagnosticada
1980-10-26,14:34,2019-10-16 14:34,Ricardo Casas Castellanos,31172421S,68,Masculino,"Calle Avenida Lupita Torre, 138, 5ºB, Benicalap, Valencia",Benicalap,Corte/punzante,39.507804,-0.39575,1980,10,Wednesday,Intento previo
1980-10-26,21:38,1981-06-09 21:38,Eligio Carlos Campo,50477742X,48,Masculino,"Carrer Paseo Marcelino Calleja, 102, Patraix, Valencia",Patraix,Ahorcamiento,39.461222,-0.416822,1980,10,Tuesday,Trastorno bipolar
1980-11-09,02:21,1993-06-25 02:21,Vinicio del Carrillo,47135391L,56,Masculino,"Plaza Cañada Sabas Perea, 130, L'Eixample, Valencia",L'Eixample,Sumersión,39.47785,-0.372864,1980,11,Friday,Sin antecedentes conocidos
1980-11-14,16:01,2004-06-21 16:01,Dulce Priego Castro,89442503B,75,Femenino,"Carrer Callejón de Hernando Miralles, 43, Jesús, Valencia",Jesús,Sumersión,39.43465,-0.350318,1980,11,Monday,Trastorno bipolar
1980-11-17,15:06,2021-06-24 15:06,Pastora Hierro-Cárdenas,33978249G,69,Femenino,"Carrer Avenida de Emelina Donoso, 41, El Carme, Valencia",El Carme,Corte/punzante,39.469792,-0.375492,1980,11,Thursday,Intento previo
1980-11-19,01:05,2012-02-11 01:05,Roque Abascal-Morante,89795010C,34,Masculino,"Calle Vial Raúl Cuéllar, 18, Poblats Marítims, Valencia",Poblats Marítims,Ahorcamiento,39.464893,-0.307628,1980,11,Saturday,Problemas económicos
1980-11-21,18:18,1993-08-09 18:18,Ángeles Guzmán Delgado,32775593H,32,Femenino,"Plaça Calle Florinda Alcolea, 83, Quatre Carreres, Valencia",Quatre Carreres,Ahorcamiento,39.449106,-0.358835,1980,11,Monday,
1980-12-05,18:53,1982-06-27 18:53,Cristian Laguna Vega,58612055M,62,Masculino,"Plaza Callejón Lope Galvez, 18, Campanar, Valencia",Campanar,Ahorcamiento,39.507524,-0.406886,1980,12,Sunday,Enfermedad crónica
1980-12-06,05:40,1992-09-22 05:40,Heriberto Marqués Castejón,75056916G,49,Masculino,"Carrer Pasadizo de Martin Real, 114, Russafa, Valencia",Russafa,Ahorcamiento,39.454884,-0.37479,1980,12,Tuesday,Abuso de sustancias
1980-12-08,04:14,1992-02-13 04:14,Alejandro Peiró-Colomer,12314351J,52,Masculino,"Carrer Via Carlos Company, 126, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.459645,-0.353401,1980,12,Thursday,Problemas económicos
1980-12-10,10:14,1986-04-17 10:14,Fidel Lopez,73070585E,22,Masculino,"Plaza Plaza Georgina Ferrando, 21, 3º1, Patraix, Valencia",Patraix,Ahorcamiento,39.44456,-0.397213,1980,12,Thursday,Intento previo
1980-12-23,14:56,2019-06-21 14:56,Vito Barral,19774839Z,32,Masculino,"Avenida Cuesta de Alicia García, 80, 4ºB, El Carme, Valencia",El Carme,Ahorcamiento,39.473384,-0.383932,1980,12,Friday,Abuso de sustancias
1981-01-02,18:07,2020-07-09 18:07,Primitiva Porta Rius,50559278B,22,Femenino,"Avenida Cuesta de Adolfo Ortiz, 121, 6º1, El Carme, Valencia",El Carme,Ahorcamiento,39.472817,-0.382842,1981,1,Thursday,Sin antecedentes conocidos
1981-01-03,12:59,1999-11-11 12:59,Salomón Dimas Cuadrado Mercader,91220369T,34,Masculino,"Plaça Cuesta de Domingo Andres, 44, Campanar, Valencia",Campanar,Intoxicación medicamentosa,39.489848,-0.40703,1981,1,Thursday,Depresión diagnosticada
1981-01-10,22:02,2019-02-05 22:02,Roque Rodríguez Gilabert,50193656C,16,Masculino,"Plaza Vial Gabriela Adán, 59, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.468713,-0.386949,1981,1,Tuesday,Duelo reciente
1981-01-10,12:09,1983-07-22 12:09,Teodora Romeu Mayoral,97236246C,16,Femenino,"Avenida Pasaje de Violeta Salas, 99, Campanar, Valencia",Campanar,Ahorcamiento,39.500221,-0.402099,1981,1,Friday,Sin antecedentes conocidos
1981-01-13,16:41,2006-05-24 16:41,Sol Solsona Castell,59302863P,66,Femenino,"Plaza Alameda de Guiomar Quiroga, 56, Ciutat Vella, Valencia",Ciutat Vella,Corte/punzante,39.48049,-0.395553,1981,1,Wednesday,Duelo reciente
1981-01-14,21:56,2003-10-11 21:56,Marc Ruperto Gonzalez Yáñez,39801436M,51,Masculino,"Plaça Via Celestina Rico, 32, 3ºC, Malvarrosa, Valencia",Malvarrosa,Ahorcamiento,39.479883,-0.315251,1981,1,Saturday,Duelo reciente
1981-01-27,11:44,2024-05-08 11:44,Sosimo Lluch Vázquez,87149951F,31,Masculino,"Plaza Cuesta Vinicio Jove, 51, Benimaclet, Valencia",Benimaclet,Arma de fuego,39.492486,-0.345003,1981,1,Wednesday,Intento previo
1981-02-09,15:24,2008-02-09 15:24,Cipriano Ruano Téllez,34970946K,26,Masculino,"Plaça Cuesta Aurelia Salamanca, 94, Patraix, Valencia",Patraix,Intoxicación medicamentosa,39.443396,-0.403857,1981,2,Saturday,
1981-02-10,08:08,2024-09-26 08:08,Melchor Tudela Calderon,75266178N,28,Masculino,"Carrer Calle Carolina Manzano, 131, El Carme, Valencia",El Carme,Ahorcamiento,39.475056,-0.387072,1981,2,Thursday,Sin antecedentes conocidos
1981-02-15,23:18,2006-03-31 23:18,Eusebia Solano,74672520F,59,Femenino,"Plaça Glorieta Bernardo Ribera, 94, L'Eixample, Valencia",L'Eixample,Sumersión,39.471567,-0.358373,1981,2,Friday,Duelo reciente
1981-02-21,01:23,1989-08-14 01:23,Leonel del Roig,70654852W,36,Masculino,"Carrer Cañada Gracia Peinado, 78, Ciutat Vella, Valencia",Ciutat Vella,Intoxicación medicamentosa,39.476592,-0.383403,1981,2,Monday,Intento previo
1981-02-22,18:50,2018-08-07 18:50,Paulina Mora,46850196R,74,Femenino,"Carrer Pasaje de Cecilio Ariño, 90, La Xerea, Valencia",La Xerea,Precipitación,39.471902,-0.383767,1981,2,Tuesday,Depresión diagnosticada
1981-02-26,07:45,1996-12-26 07:45,Estrella Calvo Cuevas,70672142L,27,Femenino,"Plaça Cuesta Pablo Real, 74, Benimaclet, Valencia",Benimaclet,Otros,39.48349,-0.367867,1981,2,Thursday,Enfermedad crónica
1981-02-27,09:08,1997-04-08 09:08,Modesto Romero Cerdá,54762841W,45,Masculino,"Carrer C. Dora Amores, 24, Malvarrosa, Valencia",Malvarrosa,Intoxicación medicamentosa,39.483712,-0.314229,1981,2,Tuesday,Abuso de sustancias
1981-03-04,23:34,2015-04-17 23:34,Eugenia Galán,29419691T,49,Femenino,"Avenida Rambla de Aureliano Juan, 85, Patraix, Valencia",Patraix,Precipitación,39.444278,-0.391845,1981,3,Friday,Intento previo
1981-03-06,17:56,2020-01-16 17:56,Mario Tomás Sola,86181117W,29,Masculino,"Plaça Ronda Gabriel Vélez, 56, El Carme, Valencia",El Carme,Intoxicación medicamentosa,39.475126,-0.364797,1981,3,Thursday,Depresión diagnosticada
1981-03-18,14:47,1986-06-10 14:47,Alba Áurea Mesa Perez,22513132L,46,Femenino,"Plaza Rambla María Campoy, 96, Benimaclet, Valencia",Benimaclet,Precipitación,39.494926,-0.372404,1981,3,Tuesday,Duelo reciente
1981-03-21,08:35,1983-03-05 08:35,Débora Castro Maestre,43635675Y,49,Femenino,"Plaza Pasaje de Martirio Aznar, 43, 4ºC, Campanar, Valencia",Campanar,Corte/punzante,39.501803,-0.384708,1981,3,Saturday,Intento previo
1981-03-22,11:24,2017-12-06 11:24,Paulino Castañeda Lledó,21370793K,44,Masculino,"Plaza Acceso Gastón Mate, 80, La Xerea, Valencia",La Xerea,Precipitación,39.474248,-0.380472,1981,3,Wednesday,Duelo reciente
1981-03-24,16:25,2023-11-26 16:25,Inocencio Paredes Segura,29226889F,70,Masculino,"Plaça Ronda Pacífica Trillo, 69, 5º2, Campanar, Valencia",Campanar,Precipitación,39.506977,-0.38261,1981,3,Sunday,Trastorno bipolar
1981-03-27,21:26,2003-09-21 21:26,Camilo Pla-Farré,61559717X,26,Masculino,"Plaza Cuesta de Jose Francisco Saura, 62, Patraix, Valencia",Patraix,Ahorcamiento,39.453214,-0.391718,1981,3,Sunday,Abuso de sustancias
1981-04-12,23:50,1982-07-30 23:50,Segismundo Bas Pérez,51536077T,58,Masculino,"Avenida Callejón Rosalva Tejedor, 114, Russafa, Valencia",Russafa,Precipitación,39.464458,-0.355246,1981,4,Friday,Enfermedad crónica
1981-04-14,04:54,2007-10-21 04:54,Adelina Villanueva-Feijoo,58567046F,72,Femenino,"Carrer Alameda de Lino Llorente, 75, 1ºC, Russafa, Valencia",Russafa,Ahorcamiento,39.450559,-0.370281,1981,4,Sunday,Trastorno bipolar
1981-04-26,10:19,1982-11-25 10:19,Sol Carballo Serrano,83226170A,52,Femenino,"Plaza Paseo Saturnino Buendía, 54, Quatre Carreres, Valencia",Quatre Carreres,Ahorcamiento,39.442691,-0.356127,1981,4,Thursday,Enfermedad crónica
1981-04-26,08:12,2023-06-13 08:12,Narcisa Pérez Arco,78284040K,67,Femenino,"Calle Ronda de Joaquina Valbuena, 141, Jesús, Valencia",Jesús,Sumersión,39.45196,-0.356083,1981,4,Tuesday,Sin antecedentes conocidos
1981-05-15,04:20,1991-09-12 04:20,Elías Vall,53112268R,47,Masculino,"Plaza Pasaje Jennifer Mateu, 133, 2º2, Jesús, Valencia",Jesús,Ahorcamiento,39.456333,-0.342511,1981,5,Thursday,Intento previo
1981-05-22,05:27,2019-01-26 05:27,Severo Bolaños Lorenzo,78765957L,49,Masculino,"Plaza Camino de Julio Mora, 114, Jesús, Valencia",Jesús,Intoxicación medicamentosa,39.453551,-0.340704,1981,5,Saturday,Trastorno bipolar
1981-06-03,10:46,2004-07-28 10:46,Epifanio Aureliano Ferrera Marti,61883769S,16,Masculino,"Plaça Cuesta Leonel Zamorano, 14, Quatre Carreres, Valencia",Quatre Carreres,Intoxicación medicamentosa,39.429383,-0.361821,1981,6,Wednesday,Sin antecedentes conocidos
1981-06-04,23:38,1983-10-28 23:38,Obdulia Mata Carrillo,16904975K,71,Femenino,"Plaça Glorieta de Carlos Herrero, 85, Malvarrosa, Valencia",Malvarrosa,Ahorcamiento,39.4712,-0.32284,1981,6,Friday,Intento previo
1981-06-10,02:12,2021-03-31 02:12,Severiano Cisneros Bellido,37057085Z,22,Masculino,"Carrer Paseo Jafet Company, 123, Poblats Marítims, Valencia",Poblats Marítims,Arma de fuego,39.464761,-0.329819,1981,6,Wednesday,Depresión diagnosticada
1981-06-10,15:10,1983-08-19 15:10,Rafaela Esteve-Feliu,80339290Z,32,Femenino,"Plaza Glorieta Maximiano Carreras, 22, El Carme, Valencia",El Carme,Ahorcamiento,39.491688,-0.394854,1981,6,Friday,Duelo reciente
1981-06-12,01:09,2020-07-26 01:09,Lázaro Agustín Leon Arjona,86134287T,30,Masculino,"Avenida Plaza de Ciriaco Granados, 8, 8ºA, Russafa, Valencia",Russafa,Ahorcamiento,39.456583,-0.353299,1981,6,Sunday,Enfermedad crónica
1981-06-19,14:29,1991-03-08 14:29,Lara Garay Pacheco,15677713Q,41,Femenino,"Avenida Cuesta Renata Morcillo, 129, Russafa, Valencia",Russafa,Precipitación,39.459979,-0.379973,1981,6,Friday,Trastorno bipolar
1981-06-24,16:12,2017-07-25 16:12,Leopoldo de Tamayo,25304396A,56,Masculino,"Carrer Urbanización Lola Ramos, 80, Campanar, Valencia",Campanar,Ahorcamiento,39.50153,-0.41223,1981,6,Tuesday,Duelo reciente
1981-06-24,19:05,2019-05-09 19:05,Carlos Guardia Piñol,58970845H,42,Masculino,"Avenida Alameda de Miguel Berrocal, 25, Jesús, Valencia",Jesús,Intoxicación medicamentosa,39.45411,-0.343819,1981,6,Thursday,Intento previo
1981-06-27,06:22,2004-08-28 06:22,Nadia Rosaura Figuerola Rodríguez,54629892Q,36,Femenino,"Carrer Urbanización Ámbar Lamas, 96, 1ºC, Ciutat Vella, Valencia",Ciutat Vella,Precipitación,39.477593,-0.377762,1981,6,Saturday,
1981-07-04,23:38,2010-12-23 23:38,Dulce Bertrán Crespo,83659258R,18,Femenino,"Carrer Via María Carmen Galiano, 115, Poblats Marítims, Valencia",Poblats Marítims,Sumersión,39.458382,-0.322612,1981,7,Thursday,
1981-07-05,19:55,2023-07-27 19:55,Patricio Llano-Ribes,52857920X,37,Masculino,"Calle Vial Andrea Manzanares, 16, 7ºD, L'Eixample, Valencia",L'Eixample,Intoxicación medicamentosa,39.471155,-0.353607,1981,7,Thursday,Duelo reciente
1981-07-11,14:25,2012-07-22 14:25,Reinaldo Seve Malo Saavedra,59394697A,60,Masculino,"Plaça Rambla Mónica Meléndez, 122, 4ºC, Benicalap, Valencia",Benicalap,Ahorcamiento,39.491952,-0.40457,1981,7,Sunday,Enfermedad crónica
1981-07-14,13:52,2013-05-31 13:52,Rodolfo Peinado Diez,40667888R,58,Masculino,"Plaça Camino Isaías Sola, 111, 2º2, Benimaclet, Valencia",Benimaclet,Precipitación,39.48166,-0.359377,1981,7,Friday,Enfermedad crónica
1981-07-14,23:03,2003-09-20 23:03,Dani Bayona Arjona,96347724B,73,Masculino,"Carrer Cuesta Alejo Azorin, 129, 1º2, Patraix, Valencia",Patraix,Precipitación,39.467152,-0.392393,1981,7,Saturday,Enfermedad crónica
1981-07-20,17:45,2023-02-25 17:45,Carmelo Dimas Cases Sáenz,94970119Z,27,Masculino,"Carrer Urbanización Heraclio Almagro, 19, Campanar, Valencia",Campanar,Ahorcamiento,39.491492,-0.402941,1981,7,Saturday,Duelo reciente
1981-08-20,22:41,1999-09-10 22:41,Jose Carlos Andres,30739712M,63,Masculino,"Avenida Cuesta Isidoro Llamas, 138, 8ºC, El Carme, Valencia",El Carme,Precipitación,39.479655,-0.352224,1981,8,Friday,Trastorno bipolar
1981-08-25,05:04,2022-01-14 05:04,Renato Robles Iniesta,80610004H,37,Masculino,"Plaza Alameda de Nicolás Pinilla, 61, El Carme, Valencia",El Carme,Ahorcamiento,39.480732,-0.379453,1981,8,Friday,Enfermedad crónica
1981-09-01,16:50,2025-03-15 16:50,Patricio Luna Santiago,80606503J,20,Masculino,"Calle Cañada de Anacleto Guardiola, 91, 7ºB, L'Eixample, Valencia",L'Eixample,Precipitación,39.467168,-0.363817,1981,9,Saturday,
1981-09-02,19:48,1996-06-22 19:48,Leocadia Pulido,94127561S,71,Femenino,"Carrer Ronda de Soraya Ferreras, 21, Patraix, Valencia",Patraix,Arma de fuego,39.437881,-0.405358,1981,9,Saturday,Enfermedad crónica
1981-09-05,18:20,1985-11-11 18:20,Ezequiel Iglesias Gual,86726461Q,55,Masculino,"Carrer Acceso de Julia Santiago, 119, Patraix, Valencia",Patraix,Corte/punzante,39.446917,-0.398638,1981,9,Monday,Enfermedad crónica
